Sentence ID | Total Words | Total Characters
318         | 5            | 26
319         | 8            | 62
320         | 5            | 26
321         | 1            | 4
322         | 9            | 81
323         | 13           | 86
324         | 18           | 138
325         | 5            | 35
326         | 7            | 54
327         | 9            | 64
328         | 19           | 113
329         | 6            | 37
330         | 8            | 49
331         | 4            | 26
332         | 4            | 25
333         | 10           | 69
334         | 245          | 938
335         | 88           | 400
336         | 52           | 228
337         | 9            | 83
338         | 139          | 490
339         | 53           | 204
340         | 52           | 205
341         | 9            | 65
342         | 9            | 60
343         | 9            | 61
344         | 96           | 362
345         | 52           | 225
346         | 51           | 210
347         | 51           | 204
348         | 15           | 101
349         | 13           | 71
350         | 11           | 72
351         | 9            | 53
352         | 3            | 25
353         | 9            | 39
354         | 11           | 62
355         | 9            | 50
356         | 22           | 161
357         | 10           | 62
358         | 8            | 42
359         | 4            | 33
360         | 10           | 76
361         | 12           | 85
362         | 13           | 97
363         | 17           | 129
364         | 13           | 92
365         | 10           | 55
366         | 8            | 50
367         | 15           | 102
368         | 12           | 76
369         | 10           | 55
370         | 3            | 25
371         | 15           | 105
372         | 7            | 55
373         | 11           | 83
374         | 13           | 86
375         | 1            | 3
376         | 11           | 88
377         | 10           | 66
378         | 7            | 43
379         | 11           | 75
380         | 11           | 77
381         | 8            | 52
382         | 7            | 48
383         | 23           | 152
384         | 6            | 34
385         | 8            | 62
386         | 9            | 59
387         | 5            | 35
388         | 5            | 35
389         | 4            | 26
390         | 4            | 25
391         | 4            | 28
392         | 244          | 939
393         | 58           | 299
394         | 6            | 55
395         | 4            | 45
396         | 12           | 67
397         | 6            | 49
398         | 18           | 142
399         | 12           | 75
400         | 13           | 107
401         | 10           | 58
402         | 15           | 96
403         | 6            | 41
404         | 7            | 40
405         | 7            | 32
406         | 10           | 59
407         | 9            | 57
408         | 11           | 64
409         | 12           | 79
410         | 28           | 222
411         | 11           | 75
412         | 9            | 66
413         | 13           | 87
414         | 19           | 121
415         | 20           | 154
416         | 9            | 66
417         | 8            | 56
418         | 3            | 25
419         | 15           | 112
420         | 94           | 414
421         | 56           | 285
422         | 10           | 56
423         | 10           | 67
424         | 11           | 78
425         | 5            | 36
426         | 8            | 39
427         | 10           | 83
428         | 19           | 93
429         | 13           | 85
430         | 10           | 56
431         | 9            | 48
432         | 10           | 65
433         | 11           | 74
434         | 12           | 84
435         | 10           | 59
436         | 17           | 130
437         | 9            | 62
438         | 11           | 82
439         | 7            | 58
440         | 8            | 55
441         | 5            | 27
442         | 5            | 32
443         | 19           | 133
444         | 12           | 75
445         | 6            | 50
446         | 57           | 312
447         | 13           | 99
448         | 12           | 77
449         | 16           | 117
450         | 15           | 108
451         | 16           | 127
452         | 15           | 106
453         | 13           | 90
454         | 15           | 106
455         | 9            | 71
456         | 17           | 110
457         | 15           | 122
458         | 13           | 92
459         | 22           | 183
460         | 11           | 89
461         | 12           | 87
462         | 11           | 89
463         | 25           | 201
464         | 14           | 101
465         | 11           | 85
466         | 7            | 37
467         | 14           | 106
468         | 9            | 71
469         | 10           | 88
470         | 10           | 89
471         | 12           | 89
472         | 12           | 82
473         | 14           | 107
474         | 14           | 113
475         | 17           | 135
476         | 19           | 141
477         | 15           | 103
478         | 23           | 150
479         | 8            | 49
480         | 5            | 42
481         | 13           | 83
482         | 12           | 92
483         | 10           | 77
484         | 11           | 69
485         | 28           | 213
486         | 7            | 44
487         | 6            | 43
488         | 7            | 62
489         | 15           | 91
490         | 6            | 50
491         | 13           | 88
492         | 16           | 106
493         | 14           | 111
494         | 16           | 113
495         | 13           | 102
496         | 13           | 99
497         | 11           | 77
498         | 16           | 113
499         | 11           | 78
500         | 13           | 96
501         | 18           | 118
502         | 11           | 97
503         | 8            | 68
504         | 16           | 114
505         | 7            | 52
506         | 18           | 113
507         | 19           | 124
508         | 14           | 90
509         | 11           | 85
510         | 7            | 58
511         | 10           | 77
512         | 10           | 74
513         | 10           | 77
514         | 11           | 86
515         | 11           | 91
516         | 17           | 123
517         | 10           | 90
518         | 5            | 53
519         | 13           | 97
520         | 17           | 121
521         | 16           | 121
522         | 12           | 100
523         | 6            | 57
524         | 17           | 119
525         | 17           | 108
526         | 9            | 73
527         | 8            | 55
528         | 9            | 69
529         | 11           | 92
530         | 4            | 44
531         | 10           | 85
532         | 15           | 128
533         | 15           | 127
534         | 19           | 136
535         | 3            | 21
536         | 13           | 95
537         | 14           | 109
538         | 9            | 69
539         | 10           | 79
540         | 10           | 63
541         | 14           | 89
542         | 10           | 68
543         | 18           | 135
544         | 12           | 85
545         | 7            | 61
546         | 18           | 89
547         | 13           | 91
548         | 9            | 53
549         | 10           | 55
550         | 1            | 4
551         | 1            | 10
552         | 9            | 58
553         | 9            | 52
554         | 9            | 57
555         | 11           | 79
556         | 9            | 55
557         | 10           | 52
558         | 11           | 71
559         | 9            | 58
560         | 12           | 78
561         | 14           | 105
562         | 10           | 70
563         | 10           | 67
564         | 13           | 101
565         | 14           | 93
566         | 19           | 122
567         | 12           | 83
568         | 10           | 75
569         | 8            | 45
570         | 8            | 46
571         | 18           | 147
572         | 11           | 81
573         | 12           | 98
574         | 10           | 75
575         | 11           | 76
576         | 11           | 77
577         | 15           | 106
578         | 8            | 42
579         | 13           | 106
580         | 16           | 114
581         | 13           | 89
582         | 19           | 136
583         | 9            | 84
584         | 14           | 115
585         | 7            | 51
586         | 11           | 105
587         | 9            | 82
588         | 699          | 3876
589         | 64           | 429
590         | 22           | 149
591         | 13           | 85
592         | 93           | 628
593         | 258          | 1684
594         | 32           | 201
595         | 86           | 560
596         | 80           | 520
597         | 201          | 1322
598         | 14           | 83
599         | 14           | 90
600         | 52           | 319
601         | 4            | 26
602         | 8            | 46
603         | 13           | 75
604         | 12           | 71
605         | 4            | 26
606         | 45           | 316
607         | 8            | 53
608         | 12           | 72
609         | 24           | 156
610         | 15           | 93
611         | 45           | 285
612         | 12           | 77
613         | 1            | 2
614         | 4            | 28
615         | 91           | 577
616         | 17           | 112
617         | 8            | 46
618         | 17           | 99
619         | 7            | 34
620         | 112          | 717
621         | 21           | 124
622         | 12           | 82
623         | 25           | 159
624         | 24           | 164
625         | 87           | 570
626         | 22           | 145
627         | 15           | 99
628         | 14           | 82
629         | 14           | 95
630         | 12           | 74
631         | 30           | 184
632         | 14           | 100
633         | 1            | 2
634         | 25           | 157
635         | 1            | 2
636         | 20           | 134
637         | 23           | 140
638         | 1            | 3
639         | 4            | 24
640         | 12           | 67
641         | 17           | 91
642         | 22           | 127
643         | 13           | 78
644         | 11           | 65
645         | 41           | 260
646         | 7            | 45
647         | 17           | 105
648         | 13           | 78
649         | 12           | 78
650         | 7            | 42
651         | 13           | 82
652         | 12           | 70
653         | 29           | 186
654         | 7            | 50
655         | 5            | 27
656         | 71           | 466
657         | 29           | 187
658         | 70           | 459
659         | 17           | 101
660         | 18           | 109
661         | 24           | 168
662         | 5            | 25
663         | 22           | 138
664         | 14           | 87
665         | 27           | 157
666         | 22           | 138
667         | 3            | 16
668         | 37           | 219
669         | 7            | 44
670         | 1            | 4
671         | 16           | 106
672         | 10           | 72
673         | 12           | 86
674         | 7            | 46
675         | 51           | 329
676         | 16           | 110
677         | 15           | 98
678         | 7            | 45
679         | 4            | 28
